('Total Revenue', '227,583,000', '211,915,000', '198,270,000', '168,088,000', '143,015,000')
         535209 function calls (516687 primitive calls) in 7.060 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      179    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
       53    0.000    0.000    0.001    0.000 typing.py:496(__init__)
        2    0.000    0.000    0.010    0.005 api.py:1(<module>)
       16    0.000    0.000    0.000    0.000 <frozen zipimport>:63(__init__)
       10    0.000    0.000    0.000    0.000 socket.py:97(_intenum_converter)
       52    0.000    0.000    0.004    0.000 css_parser.py:1083(<listcomp>)
        1    0.000    0.000    0.042    0.042 ssl.py:983(_create)
       48    0.000    0.000    0.000    0.000 enum.py:532(_get_mixins_)
       16    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1317(_path_hooks)
       17    0.000    0.000    0.000    0.000 typing.py:900(__init_subclass__)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:406(spec_from_loader)
        1    0.000    0.000    0.000    0.000 connection.py:496(HTTPSConnection)
        3    0.000    0.000    0.004    0.001 response.py:1(<module>)
       11    0.000    0.000    0.000    0.000 parse.py:428(urlsplit)
      402    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:68(_relax_case)
        1    0.000    0.000    0.010    0.010 connectionpool.py:1(<module>)
      462    0.000    0.000    0.000    0.000 css_types.py:73(__hash__)
      189    0.000    0.000    0.000    0.000 status_codes.py:117(<genexpr>)
        1    0.000    0.000    0.001    0.001 datetime.py:1(<module>)
        1    0.000    0.000    0.000    0.000 quoprimime.py:55(<listcomp>)
      112    0.000    0.000    0.627    0.006 response.py:1011(stream)
        1    0.000    0.000    0.003    0.003 ssl_.py:216(create_urllib3_context)
       10    0.000    0.000    0.005    0.000 enum.py:483(_convert_)
        1    0.000    0.000    0.026    0.026 ssl_.py:1(<module>)
       38    0.000    0.000    0.000    0.000 element.py:273(get_text)
       19    0.000    0.000    0.000    0.000 ipaddress.py:1417(__init__)
       12    0.000    0.000    0.000    0.000 queue.py:153(get)
       62    0.000    0.000    0.000    0.000 {method 'split' of 'bytes' objects}
       59    0.000    0.000    0.000    0.000 __init__.py:21(__new__)
       50    0.000    0.000    0.000    0.000 enum.py:1015(_power_of_two)
       35    0.000    0.000    0.001    0.000 abc.py:84(__new__)
       37    0.000    0.000    0.000    0.000 functools.py:525(decorating_function)
