('Total Revenue', '227,583,000', '211,915,000', '198,270,000', '168,088,000', '143,015,000')
         613248 function calls (588103 primitive calls) in 1.623 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      194    0.000    0.000    0.000    0.000 sre_parse.py:921(fix_flags)
      194    0.001    0.000    0.071    0.000 sre_parse.py:937(parse)
      191    0.000    0.000    0.000    0.000 enum.py:753(value)
      190    0.000    0.000    0.000    0.000 dammit.py:134(<genexpr>)
      189    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
      186    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
      186    0.000    0.000    0.006    0.000 sre_parse.py:96(closegroup)
      171    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
      165    0.000    0.000    0.000    0.000 enum.py:506(<lambda>)
      164    0.000    0.000    0.003    0.000 typing.py:689(copy_with)
      162    0.000    0.000    0.000    0.000 {method 'isascii' of 'str' objects}
      158    0.000    0.000    0.000    0.000 {built-in method sys.intern}
      153    0.000    0.000    0.000    0.000 typing_extensions.py:200(<listcomp>)
      152    0.000    0.000    0.000    0.000 os.py:752(decode)
      150    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
      143    0.000    0.000    0.001    0.000 typing.py:219(_remove_dups_flatten)
      137    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      136    0.000    0.000    0.002    0.000 css_types.py:203(__init__)
      136    0.000    0.000    0.000    0.000 css_parser.py:357(__init__)
  136/131    0.000    0.000    0.001    0.000 css_parser.py:373(_freeze_relations)
  136/131    0.000    0.000    0.003    0.000 css_parser.py:383(freeze)
      136    0.000    0.000    0.000    0.000 typing.py:183(<listcomp>)
      134    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
      134    0.000    0.000    0.000    0.000 __init__.py:385(<genexpr>)
      133    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
      133    0.000    0.000    0.000    0.000 re.py:270(escape)
  127/126    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
      125    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
      125    0.000    0.000    0.002    0.000 typing.py:802(__getitem__)
      125    0.001    0.000    0.001    0.000 sre_compile.py:413(<listcomp>)
      125    0.000    0.000    0.001    0.000 sre_compile.py:411(_mk_bitmap)
      124    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      122    0.000    0.000    0.000    0.000 ssl.py:124(<lambda>)
      122    0.000    0.000    0.000    0.000 ssl.py:129(<lambda>)
      122    0.000    0.000    0.000    0.000 ssl.py:134(<lambda>)
      122    0.000    0.000    0.000    0.000 ssl.py:139(<lambda>)
      122    0.000    0.000    0.000    0.000 ssl.py:144(<lambda>)
      122    0.000    0.000    0.000    0.000 ssl.py:149(<lambda>)
      121    0.001    0.000    0.002    0.000 sre_compile.py:492(_get_charset_prefix)
      120    0.000    0.000    0.000    0.000 opcode.py:39(def_op)
      115    0.000    0.000    0.000    0.000 {built-in method builtins.all}
      114    0.000    0.000    0.000    0.000 typing.py:830(<genexpr>)
      114    0.000    0.000    0.000    0.000 abc.py:7(abstractmethod)
      110    0.000    0.000    0.000    0.000 enum.py:748(name)
      109    0.000    0.000    0.003    0.000 typing.py:187(_subs_tvars)
      109    0.000    0.000    0.004    0.000 typing.py:677(__getitem__)
      108    0.000    0.000    0.000    0.000 constant.py:397(<lambda>)
      107    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      105    0.000    0.000    0.000    0.000 {method 'isdigit' of 'str' objects}
      100    0.000    0.000    0.000    0.000 _models.py:90(encoding)
       96    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
       95    0.000    0.000    0.000    0.000 __init__.py:91(_replace_charref)
       94    0.000    0.000    0.000    0.000 ipaddress.py:574(__int__)
       91    0.000    0.000    0.001    0.000 functools.py:34(update_wrapper)
       90    0.000    0.000    0.001    0.000 enum.py:932(__or__)
       89    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
       86    0.000    0.000    0.000    0.000 _models.py:27(enforce_bytes)
       86    0.000    0.000    0.000    0.000 sre_parse.py:267(getuntil)
       85    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
